 No.     Event UTC A-NODE     Event SCLK A-NODE    OP-Event UTC D-NODE       Alt
  186  2018 FEB 12 20:12:10    1/14749420:35:8:1   2018 FEB 12 20:58:24      406.03
  187  2018 FEB 12 21:44:46    1/14749511:88:5:1   2018 FEB 12 22:31:00      406.04
  188  2018 FEB 12 23:17:22    1/14749603:50:2:0   2018 FEB 13 00:03:36      406.05
  189  2018 FEB 13 00:49:58    1/14749695:11:9:0   2018 FEB 13 01:36:11      406.06
  190  2018 FEB 13 02:22:34    1/14749786:64:5:7   2018 FEB 13 03:08:47      406.06
  191  2018 FEB 13 03:55:09    1/14749878:26:2:6   2018 FEB 13 04:41:23      406.07
  192  2018 FEB 13 05:27:45    1/14749969:78:9:5   2018 FEB 13 06:13:59      406.08
  193  2018 FEB 13 07:00:21    1/14750061:40:6:4   2018 FEB 13 07:46:35      406.09
  194  2018 FEB 13 08:32:57    1/14750153:02:3:3   2018 FEB 13 09:19:10      406.10
  195  2018 FEB 13 10:05:32    1/14750244:55:0:1   2018 FEB 13 10:51:46      406.10
  196  2018 FEB 13 11:38:08    1/14750336:16:6:7   2018 FEB 13 12:24:22      406.11
  197  2018 FEB 13 13:10:44    1/14750427:69:3:6   2018 FEB 13 13:56:58      406.12
  198  2018 FEB 13 14:43:20    1/14750519:31:0:4   2018 FEB 13 15:29:34      406.13
  199  2018 FEB 13 16:15:56    1/14750610:83:7:1   2018 FEB 13 17:02:09      406.13
  200  2018 FEB 13 17:48:31    1/14750702:45:3:7   2018 FEB 13 18:34:45      406.14
  201  2018 FEB 13 19:21:07    1/14750794:07:0:5   2018 FEB 13 20:07:21      406.15
  202  2018 FEB 13 20:53:43    1/14750885:59:7:2   2018 FEB 13 21:39:57      406.16
  203  2018 FEB 13 22:26:19    1/14750977:21:3:7   2018 FEB 13 23:12:32      406.16
  204  2018 FEB 13 23:58:54    1/14751068:74:0:4   2018 FEB 14 00:45:08      406.17
  205  2018 FEB 14 01:31:30    1/14751160:35:7:1   2018 FEB 14 02:17:44      406.18
  206  2018 FEB 14 03:04:06    1/14751251:88:3:6   2018 FEB 14 03:50:20      406.19
  207  2018 FEB 14 04:36:42    1/14751343:50:0:2   2018 FEB 14 05:22:56      406.19
  208  2018 FEB 14 06:09:18    1/14751435:11:6:7   2018 FEB 14 06:55:31      406.20
  209  2018 FEB 14 07:41:53    1/14751526:64:3:3   2018 FEB 14 08:28:07      406.21
  210  2018 FEB 14 09:14:29    1/14751618:25:9:7   2018 FEB 14 10:00:43      406.22
  211  2018 FEB 14 10:47:05    1/14751709:78:6:3   2018 FEB 14 11:33:19      406.23
  212  2018 FEB 14 12:19:41    1/14751801:40:2:7   2018 FEB 14 13:05:54      406.23
  213  2018 FEB 14 13:52:16    1/14751893:01:9:2   2018 FEB 14 14:38:30      406.24
  214  2018 FEB 14 15:24:52    1/14751984:54:5:5   2018 FEB 14 16:11:06      406.25
  215  2018 FEB 14 16:57:28    1/14752076:16:2:1   2018 FEB 14 17:43:42      406.26
  216  2018 FEB 14 18:30:04    1/14752167:68:8:4   2018 FEB 14 19:16:17      406.26
  217  2018 FEB 14 20:02:39    1/14752259:30:4:7   2018 FEB 14 20:48:53      406.27
  218  2018 FEB 14 21:35:15    1/14752350:83:1:1   2018 FEB 14 22:21:29      406.28
